Passenger ID,Age,Fare,Sex,No. of Siblings/Spouses,No. of Parents/Children,Passenger Class,Embarked,Survived
212,35,21,1,0,0,2,2,1
213,22,7,0,0,0,3,2,0
214,30,13,0,0,0,2,2,0
215,28,8,0,1,0,3,1,0
216,31,113,1,1,0,1,0,1
217,27,8,1,0,0,3,2,1
218,42,27,0,1,0,2,2,0
219,32,76,1,0,0,1,0,1
220,30,10,0,0,0,2,2,0
221,16,8,0,0,0,3,2,1
222,27,13,0,0,0,2,2,0
223,51,8,0,0,0,3,2,0
224,28,8,0,0,0,3,2,0
225,38,90,0,1,0,1,2,1
226,22,9,0,0,0,3,2,0
227,19,10,0,0,0,2,2,1
228,20,7,0,0,0,3,2,0
229,18,13,0,0,0,2,2,0
230,28,25,1,3,1,3,2,0
231,35,83,1,1,0,1,2,1
232,29,8,0,0,0,3,2,0
233,59,14,0,0,0,2,2,0
234,5,31,1,4,2,3,2,1
235,24,10,0,0,0,2,2,0
236,28,8,1,0,0,3,2,0
237,44,26,0,1,0,2,2,0
238,8,26,1,0,2,2,2,1
239,19,10,0,0,0,2,2,0
240,33,12,0,0,0,2,2,0
241,28,14,1,1,0,3,0,0
242,28,16,1,1,0,3,1,1
243,29,10,0,0,0,2,2,0
244,22,7,0,0,0,3,2,0
245,30,7,0,0,0,3,0,0
246,44,90,0,2,0,1,1,0
247,25,8,1,0,0,3,2,0
248,24,14,1,0,2,2,2,1
249,37,53,0,1,1,1,2,1
250,54,26,0,1,0,2,2,0
251,28,7,0,0,0,3,2,0
252,29,10,1,1,1,3,2,0
253,62,27,0,0,0,1,2,0
254,30,16,0,1,0,3,2,0
255,41,20,1,0,2,3,2,0
256,29,15,1,0,2,3,0,1
257,28,79,1,0,0,1,0,1
258,30,86,1,0,0,1,2,1
259,35,512,1,0,0,1,0,1
260,50,26,1,0,1,2,2,1
261,28,8,0,0,0,3,1,0
262,3,31,0,4,2,3,2,1
263,52,80,0,1,1,1,2,0
264,40,0,0,0,0,1,2,0
265,28,8,1,0,0,3,1,0
266,36,10,0,0,0,2,2,0
267,16,40,0,4,1,3,2,0
268,25,8,0,1,0,3,2,1
269,58,153,1,0,1,1,2,1
270,35,136,1,0,0,1,2,1
271,28,31,0,0,0,1,2,0
272,25,0,0,0,0,3,2,1
273,41,20,1,0,1,2,2,1
274,37,30,0,0,1,1,0,0
275,28,8,1,0,0,3,1,1
276,63,78,1,1,0,1,2,1
277,45,8,1,0,0,3,2,0
278,28,0,0,0,0,2,2,0
279,7,29,0,4,1,3,1,0
280,35,20,1,1,1,3,2,1
281,65,8,0,0,0,3,1,0
282,28,8,0,0,0,3,2,0
283,16,10,0,0,0,3,2,0
284,19,8,0,0,0,3,2,1
285,28,26,0,0,0,1,2,0
286,33,9,0,0,0,3,0,0
287,30,10,0,0,0,3,2,1
288,22,8,0,0,0,3,2,0
289,42,13,0,0,0,2,2,1
290,22,8,1,0,0,3,1,1
291,26,79,1,0,0,1,2,1
292,19,91,1,1,0,1,0,1
293,36,13,0,0,0,2,0,0
294,24,9,1,0,0,3,2,0
295,24,8,0,0,0,3,2,0
296,28,28,0,0,0,1,0,0
297,24,7,0,0,0,3,0,0
298,2,152,1,1,2,1,2,0
299,28,30,0,0,0,1,2,1
300,50,248,1,0,1,1,0,1
301,28,8,1,0,0,3,1,1
302,28,23,0,2,0,3,1,1
303,19,0,0,0,0,3,2,0
304,28,12,1,0,0,2,1,1
305,28,8,0,0,0,3,2,0
306,1,152,0,1,2,1,2,1
307,28,111,1,0,0,1,0,1
308,17,109,1,1,0,1,0,1
309,30,24,0,1,0,2,0,0
310,30,57,1,0,0,1,0,1
311,24,83,1,0,0,1,0,1
312,18,262,1,2,2,1,0,1
313,26,26,1,1,1,2,2,0
314,28,8,0,0,0,3,2,0
315,43,26,0,1,1,2,2,0
316,26,8,1,0,0,3,2,1
317,24,26,1,1,0,2,2,1
318,54,14,0,0,0,2,2,0
319,31,165,1,0,2,1,2,1
320,40,134,1,1,1,1,0,1
321,22,7,0,0,0,3,2,0
322,27,8,0,0,0,3,2,0
323,30,12,1,0,0,2,1,1
324,22,29,1,1,1,2,2,1
325,28,70,0,8,2,3,2,0
326,36,136,1,0,0,1,0,1
327,61,6,0,0,0,3,2,0
328,36,13,1,0,0,2,2,1
329,31,21,1,1,1,3,2,1
330,16,58,1,0,1,1,0,1
331,28,23,1,2,0,3,1,1
332,46,28,0,0,0,1,2,0
333,38,153,0,0,1,1,2,0
334,16,18,0,2,0,3,2,0
335,28,134,1,1,0,1,2,1
336,28,8,0,0,0,3,2,0
337,29,67,0,1,0,1,2,0
338,41,134,1,0,0,1,0,1
339,45,8,0,0,0,3,2,1
340,45,36,0,0,0,1,2,0
341,2,26,0,1,1,2,2,1
342,24,263,1,3,2,1,2,1
343,28,13,0,0,0,2,2,0
344,25,13,0,0,0,2,2,0
345,36,13,0,0,0,2,2,0
346,24,13,1,0,0,2,2,1
347,40,13,1,0,0,2,2,1
348,28,16,1,1,0,3,2,1
349,3,16,0,1,1,3,2,1
350,42,9,0,0,0,3,2,0
351,23,9,0,0,0,3,2,0
352,28,35,0,0,0,1,2,0
353,15,7,0,1,1,3,0,0
354,25,18,0,1,0,3,2,0
355,28,7,0,0,0,3,0,0
356,28,10,0,0,0,3,2,0
357,22,55,1,0,1,1,2,1
358,38,13,1,0,0,2,2,0
359,28,8,1,0,0,3,1,1
360,28,8,1,0,0,3,1,1
361,40,28,0,1,4,3,2,0
362,29,28,0,1,0,2,0,0
363,45,14,1,0,1,3,0,0
364,35,7,0,0,0,3,2,0
365,28,16,0,1,0,3,1,0
366,30,7,0,0,0,3,2,0
367,60,75,1,1,0,1,0,1
368,28,7,1,0,0,3,0,1
369,28,8,1,0,0,3,1,1
370,24,69,1,0,0,1,0,1
371,25,55,0,1,0,1,0,1
372,18,6,0,1,0,3,2,0
373,19,8,0,0,0,3,2,0
374,22,136,0,0,0,1,0,0
375,3,21,1,3,1,3,2,0
376,28,82,1,1,0,1,0,1
377,22,7,1,0,0,3,2,1
378,27,212,0,0,2,1,0,0
379,20,4,0,0,0,3,0,0
380,19,8,0,0,0,3,2,0
381,42,228,1,0,0,1,0,1
382,1,16,1,0,2,3,0,1
383,32,8,0,0,0,3,2,0
384,35,52,1,1,0,1,2,1
385,28,8,0,0,0,3,2,0
386,18,74,0,0,0,2,2,0
387,1,47,0,5,2,3,2,0
388,36,13,1,0,0,2,2,1
389,28,8,0,0,0,3,1,0
390,17,12,1,0,0,2,0,1
391,36,120,0,1,2,1,2,1
392,21,8,0,0,0,3,2,1
393,28,8,0,2,0,3,2,0
394,23,113,1,1,0,1,0,1
395,24,17,1,0,2,3,2,1
396,22,8,0,0,0,3,2,0
397,31,8,1,0,0,3,2,0
398,46,26,0,0,0,2,2,0
399,23,10,0,0,0,2,2,0
400,28,13,1,0,0,2,2,1
401,39,8,0,0,0,3,2,1
402,26,8,0,0,0,3,2,0
403,21,10,1,1,0,3,2,0
404,28,16,0,1,0,3,2,0
405,20,9,1,0,0,3,2,0
406,34,21,0,1,0,2,2,0
407,51,8,0,0,0,3,2,0
408,3,19,0,1,1,2,2,1
409,21,8,0,0,0,3,2,0
410,28,25,1,3,1,3,2,0
411,28,8,0,0,0,3,2,0
412,28,7,0,0,0,3,1,0
413,33,90,1,1,0,1,1,1
414,28,0,0,0,0,2,2,0
415,44,8,0,0,0,3,2,1
416,28,8,1,0,0,3,2,0
417,34,32,1,1,1,2,2,1
418,18,13,1,0,2,2,2,1
419,30,13,0,0,0,2,2,0
420,10,24,1,0,2,3,2,0
421,28,8,0,0,0,3,0,0
422,21,8,0,0,0,3,1,0
423,29,8,0,0,0,3,2,0
424,28,14,1,1,1,3,2,0
425,18,20,0,1,1,3,2,0
426,28,7,0,0,0,3,2,0
427,28,26,1,1,0,2,2,1
428,19,26,1,0,0,2,2,1
429,28,8,0,0,0,3,1,0
430,32,8,0,0,0,3,2,1
431,28,27,0,0,0,1,2,1
432,28,16,1,1,0,3,2,1
433,42,26,1,1,0,2,2,1
434,17,7,0,0,0,3,2,0
435,50,56,0,1,0,1,2,0
436,14,120,1,1,2,1,2,1
437,21,34,1,2,2,3,2,0
438,24,19,1,2,3,2,2,1
439,64,263,0,1,4,1,2,0
440,31,10,0,0,0,2,2,0
441,45,26,1,1,1,2,2,1
442,20,10,0,0,0,3,2,0
443,25,8,0,1,0,3,2,0
444,28,13,1,0,0,2,2,1
445,28,8,0,0,0,3,2,1
446,4,82,0,0,2,1,2,1
447,13,20,1,0,1,2,2,1
448,34,27,0,0,0,1,2,1
449,5,19,1,2,1,3,0,1
450,52,30,0,0,0,1,2,1
451,36,28,0,1,2,2,2,0
452,28,20,0,1,0,3,2,0
453,30,28,0,0,0,1,0,0
454,49,89,0,1,0,1,0,1
455,28,8,0,0,0,3,2,0
456,29,8,0,0,0,3,0,1
457,65,27,0,0,0,1,2,0
458,28,52,1,1,0,1,2,1
459,50,10,1,0,0,2,2,1
460,28,8,0,0,0,3,1,0
461,48,27,0,0,0,1,2,1
462,34,8,0,0,0,3,2,0
463,47,38,0,0,0,1,2,0
464,48,13,0,0,0,2,2,0
465,28,8,0,0,0,3,2,0
466,38,7,0,0,0,3,2,0
467,28,0,0,0,0,2,2,0
468,56,27,0,0,0,1,2,0
469,28,8,0,0,0,3,1,0
470,1,19,1,2,1,3,0,1
471,28,7,0,0,0,3,2,0
472,38,9,0,0,0,3,2,0
473,33,28,1,1,2,2,2,1
474,23,14,1,0,0,2,0,1
475,22,10,1,0,0,3,2,0
476,28,52,0,0,0,1,2,0
477,34,21,0,1,0,2,2,0
478,29,7,0,1,0,3,2,0
479,22,8,0,0,0,3,2,0
480,2,12,1,0,1,3,2,1
481,9,47,0,5,2,3,2,0
482,28,0,0,0,0,2,2,0
483,50,8,0,0,0,3,2,0
484,63,10,1,0,0,3,2,1
485,25,91,0,1,0,1,0,1
486,28,25,1,3,1,3,2,0
487,35,90,1,1,0,1,2,1
488,58,30,0,0,0,1,0,0
489,30,8,0,0,0,3,2,0
490,9,16,0,1,1,3,2,1
491,28,20,0,1,0,3,2,0
492,21,7,0,0,0,3,2,0
493,55,30,0,0,0,1,2,0
494,71,50,0,0,0,1,0,0
495,21,8,0,0,0,3,2,0
496,28,14,0,0,0,3,0,0
497,54,78,1,1,0,1,0,1
498,28,15,0,0,0,3,2,0
499,25,152,1,1,2,1,2,0
500,24,8,0,0,0,3,2,0
501,17,9,0,0,0,3,2,0
502,21,8,1,0,0,3,1,0
503,28,8,1,0,0,3,1,0
504,37,10,1,0,0,3,2,0
505,16,86,1,0,0,1,2,1
506,18,109,0,1,0,1,0,0
507,33,26,1,0,2,2,2,1
508,28,27,0,0,0,1,2,1
509,28,23,0,0,0,3,2,0
510,26,56,0,0,0,3,2,1
511,29,8,0,0,0,3,1,1
512,28,8,0,0,0,3,2,0
513,36,26,0,0,0,1,2,1
514,54,59,1,1,0,1,0,1
515,24,7,0,0,0,3,2,0
516,47,34,0,0,0,1,2,0
517,34,10,1,0,0,2,2,1
518,28,24,0,0,0,3,1,0
519,36,26,1,1,0,2,2,1
520,32,8,0,0,0,3,2,0
521,30,94,1,0,0,1,2,1
522,22,8,0,0,0,3,2,0
523,28,7,0,0,0,3,0,0
524,44,58,1,0,1,1,0,1
525,28,7,0,0,0,3,0,0
526,40,8,0,0,0,3,1,0
527,50,10,1,0,0,2,2,1
528,28,222,0,0,0,1,2,0
529,39,8,0,0,0,3,2,0
530,23,12,0,2,1,2,2,0
531,2,26,1,1,1,2,2,1
532,28,7,0,0,0,3,0,0
533,17,7,0,1,1,3,0,0
534,28,22,1,0,2,3,0,1
535,30,9,1,0,0,3,2,0
536,7,26,1,0,2,2,2,1
537,45,27,0,0,0,1,2,0
538,30,106,1,0,0,1,0,1
539,28,14,0,0,0,3,2,0
540,22,50,1,0,2,1,0,1
541,36,71,1,0,2,1,2,1
542,9,31,1,4,2,3,2,0
543,11,31,1,4,2,3,2,0
544,32,26,0,1,0,2,2,1
545,50,106,0,1,0,1,0,0
546,64,26,0,0,0,1,2,0
547,19,26,1,1,0,2,2,1
548,28,14,0,0,0,2,0,1
549,33,21,0,1,1,3,2,0
550,8,37,0,1,1,2,2,1
551,17,111,0,0,2,1,0,1
552,27,26,0,0,0,2,2,0
553,28,8,0,0,0,3,1,0
554,22,7,0,0,0,3,0,1
555,22,8,1,0,0,3,2,1
556,62,27,0,0,0,1,2,0
557,48,40,1,1,0,1,0,1
558,28,228,0,0,0,1,0,0
559,39,80,1,1,1,1,2,1
560,36,17,1,1,0,3,2,1
561,28,8,0,0,0,3,1,0
562,40,8,0,0,0,3,2,0
563,28,14,0,0,0,2,2,0
564,28,8,0,0,0,3,2,0
565,28,8,1,0,0,3,2,0
566,24,24,0,2,0,3,2,0
567,19,8,0,0,0,3,2,0
568,29,21,1,0,4,3,2,0
569,28,7,0,0,0,3,0,0
570,32,8,0,0,0,3,2,1
571,62,10,0,0,0,2,2,1
572,53,51,1,2,0,1,2,1
573,36,26,0,0,0,1,2,1
574,28,8,1,0,0,3,1,1
575,16,8,0,0,0,3,2,0
576,19,14,0,0,0,3,2,0
577,34,13,1,0,0,2,2,1
578,39,56,1,1,0,1,2,1
579,28,14,1,1,0,3,0,0
580,32,8,0,0,0,3,2,1
581,25,30,1,1,1,2,2,1
582,39,111,1,1,1,1,0,1
583,54,26,0,0,0,2,2,0
584,36,40,0,0,0,1,0,0
585,28,9,0,0,0,3,0,0
586,18,80,1,0,2,1,2,1
587,47,15,0,0,0,2,2,0
588,60,79,0,1,1,1,0,1
589,22,8,0,0,0,3,2,0
590,28,8,0,0,0,3,2,0
591,35,7,0,0,0,3,2,0
592,52,78,1,1,0,1,0,1
593,47,7,0,0,0,3,2,0
594,28,8,1,0,2,3,1,0
595,37,26,0,1,0,2,2,0
596,36,24,0,1,1,3,2,0
597,28,33,1,0,0,2,2,1
598,49,0,0,0,0,3,2,0
599,28,7,0,0,0,3,0,0
600,49,57,0,1,0,1,0,1
601,24,27,1,2,1,2,2,1
602,28,8,0,0,0,3,2,0
603,28,42,0,0,0,1,2,0
604,44,8,0,0,0,3,2,0
605,35,27,0,0,0,1,0,1
606,36,16,0,1,0,3,2,0
607,30,8,0,0,0,3,2,0
608,27,30,0,0,0,1,2,1
609,22,42,1,1,2,2,0,1
610,40,153,1,0,0,1,2,1
611,39,31,1,1,5,3,2,0
612,28,7,0,0,0,3,2,0
613,28,16,1,1,0,3,1,1
614,28,8,0,0,0,3,1,0
615,35,8,0,0,0,3,2,0
616,24,65,1,1,2,2,2,1
617,34,14,0,1,1,3,2,0
618,26,16,1,1,0,3,2,0
619,4,39,1,2,1,2,2,1
620,26,10,0,0,0,2,2,0
621,27,14,0,1,0,3,0,0
622,42,53,0,1,0,1,2,1
623,20,16,0,1,1,3,0,1
624,21,8,0,0,0,3,2,0
625,21,16,0,0,0,3,2,0
626,61,32,0,0,0,1,2,0
627,57,12,0,0,0,2,1,0
628,21,78,1,0,0,1,2,1
629,26,8,0,0,0,3,2,0
630,28,8,0,0,0,3,1,0
631,80,30,0,0,0,1,2,1
632,51,7,0,0,0,3,2,0
633,32,30,0,0,0,1,0,1
634,28,0,0,0,0,1,2,0
635,9,28,1,3,2,3,2,0
636,28,13,1,0,0,2,2,1
637,32,8,0,0,0,3,2,0
638,31,26,0,1,1,2,2,0
639,41,40,1,0,5,3,2,0
640,28,16,0,1,0,3,2,0
641,20,8,0,0,0,3,2,0
642,24,69,1,0,0,1,0,1
643,2,28,1,3,2,3,2,0
644,28,56,0,0,0,3,2,1
645,1,19,1,2,1,3,0,1
646,48,77,0,1,0,1,0,1
647,19,8,0,0,0,3,2,0
648,56,36,0,0,0,1,0,1
649,28,8,0,0,0,3,2,0
650,23,8,1,0,0,3,2,1
651,28,8,0,0,0,3,2,0
652,18,23,1,0,1,2,2,1
653,21,8,0,0,0,3,2,0
654,28,8,1,0,0,3,1,1
655,18,7,1,0,0,3,1,0
656,24,74,0,2,0,2,2,0
657,28,8,0,0,0,3,2,0
658,32,16,1,1,1,3,1,0
659,23,13,0,0,0,2,2,0
660,58,113,0,0,2,1,0,0
661,50,134,0,2,0,1,2,1
662,40,7,0,0,0,3,0,0
663,47,26,0,0,0,1,2,0
664,36,7,0,0,0,3,2,0
665,20,8,0,1,0,3,2,1
666,32,74,0,2,0,2,2,0
667,25,13,0,0,0,2,2,0
668,28,8,0,0,0,3,2,0
669,43,8,0,0,0,3,2,0
670,28,52,1,1,0,1,2,1
671,40,39,1,1,1,2,2,1
672,31,52,0,1,0,1,2,0
673,70,10,0,0,0,2,2,0
674,31,13,0,0,0,2,2,1
675,28,0,0,0,0,2,2,0
676,18,8,0,0,0,3,2,0
677,24,8,0,0,0,3,2,0
678,18,10,1,0,0,3,2,1
679,43,47,1,1,6,3,2,0
680,36,512,0,0,1,1,0,1
681,28,8,1,0,0,3,1,0
682,27,77,0,0,0,1,0,1
683,20,9,0,0,0,3,2,0
684,14,47,0,5,2,3,2,0
685,60,39,0,1,1,2,2,0
686,25,42,0,1,2,2,0,0
687,14,40,0,4,1,3,2,0
688,19,10,0,0,0,3,2,0
689,18,8,0,0,0,3,2,0
690,15,211,1,0,1,1,2,1
691,31,57,0,1,0,1,2,1
692,4,13,1,0,1,3,0,1
693,28,56,0,0,0,3,2,1
694,25,7,0,0,0,3,0,0
695,60,27,0,0,0,1,2,0
696,52,14,0,0,0,2,2,0
697,44,8,0,0,0,3,2,0
698,28,8,1,0,0,3,1,1
699,49,111,0,1,1,1,0,0
700,42,8,0,0,0,3,2,0
701,18,228,1,1,0,1,0,1
702,35,26,0,0,0,1,2,1
703,18,14,1,0,1,3,0,0
704,25,8,0,0,0,3,1,0
705,26,8,0,1,0,3,2,0
706,39,26,0,0,0,2,2,0
707,45,14,1,0,0,2,2,1
708,42,26,0,0,0,1,2,1
709,22,152,1,0,0,1,2,1
710,28,15,0,1,1,3,0,1
711,24,50,1,0,0,1,0,1
712,28,27,0,0,0,1,2,0
713,48,52,0,1,0,1,2,1
714,29,9,0,0,0,3,2,0
715,52,13,0,0,0,2,2,0
716,19,8,0,0,0,3,2,0
717,38,228,1,0,0,1,0,1
718,27,10,1,0,0,2,2,1
719,28,16,0,0,0,3,1,0
720,33,8,0,0,0,3,2,0
721,6,33,1,0,1,2,2,1
722,17,7,0,1,0,3,2,0
723,34,13,0,0,0,2,2,0
724,50,13,0,0,0,2,2,0
725,27,53,0,1,0,1,2,1
726,20,9,0,0,0,3,2,0
727,30,21,1,3,0,2,2,1
728,28,8,1,0,0,3,1,1
729,25,26,0,1,0,2,2,0
730,25,8,1,1,0,3,2,0
731,29,211,1,0,0,1,2,1
732,11,19,0,0,0,3,0,0
733,28,0,0,0,0,2,2,0
734,23,13,0,0,0,2,2,0
735,23,13,0,0,0,2,2,0
736,28,16,0,0,0,3,2,0
737,48,34,1,1,3,3,2,0
738,35,512,0,0,0,1,0,1
739,28,8,0,0,0,3,2,0
740,28,8,0,0,0,3,2,0
741,28,30,0,0,0,1,2,1
742,36,79,0,1,0,1,2,0
743,21,262,1,2,2,1,0,1
744,24,16,0,1,0,3,2,0
745,31,8,0,0,0,3,2,1
746,70,71,0,1,1,1,2,0
747,16,20,0,1,1,3,2,0
748,30,13,1,0,0,2,2,1
749,19,53,0,1,0,1,2,0
750,31,8,0,0,0,3,1,0
751,4,23,1,1,1,2,2,1
752,6,12,0,0,1,3,2,1
753,33,10,0,0,0,3,2,0
754,23,8,0,0,0,3,2,0
755,48,65,1,1,2,2,2,1
756,1,14,0,1,1,2,2,1
757,28,8,0,0,0,3,2,0
758,18,12,0,0,0,2,2,0
759,34,8,0,0,0,3,2,0
760,33,86,1,0,0,1,2,1
761,28,14,0,0,0,3,2,0
762,41,7,0,0,0,3,2,0
763,20,7,0,0,0,3,0,1
764,36,120,1,1,2,1,2,1
765,16,8,0,0,0,3,2,0
766,51,78,1,1,0,1,2,1
767,28,40,0,0,0,1,0,0
768,30,8,1,0,0,3,1,0
769,28,24,0,1,0,3,1,0
770,32,8,0,0,0,3,2,0
771,24,10,0,0,0,3,2,0
